"","Hugo_Symbol","Entrez_Gene_Id"
"55578","FAM48A",55578
"100130302","FAM48B1",100130302
"170067","FAM48B2",170067
"81553","FAM49A",81553
"51571","FAM49B",51571
"9130","FAM50A",9130
"26240","FAM50B",26240
"152877","FAM53A",152877
"9679","FAM53B",9679
"51307","FAM53C",51307
"113115","FAM54A",113115
"56181","FAM54B",56181
"120400","FAM55A",120400
"120406","FAM55B",120406
"91775","FAM55C",91775
"54827","FAM55D",54827
"79850","FAM57A",79850
"83723","FAM57B",83723
"92002","FAM58A",92002
"339521","FAM58B",339521
"64762","FAM59A",64762
"57795","FAM5B",57795
"339479","FAM5C",339479
"58516","FAM60A",58516
"55793","FAM63A",55793
"54629","FAM63B",54629
"54478","FAM64A",54478
"79567","FAM65A",79567
"9750","FAM65B",9750
"140876","FAM65C",140876
"100133172","FAM66A",100133172
"440078","FAM66C",440078
"100132923","FAM66D",100132923
"100132103","FAM66E",100132103
"388650","FAM69A",388650
"138311","FAM69B",138311
"125704","FAM69C",125704
"55026","FAM70A",55026
"348013","FAM70B",348013
"149647","FAM71A",149647
"153745","FAM71B",153745
"196472","FAM71C",196472
"161142","FAM71D",161142
"112703","FAM71E1",112703
"284418","FAM71E2",284418
"84691","FAM71F1",84691
"346653","FAM71F2",346653
"729533","FAM72A",729533
"653820","FAM72B",653820
"728833","FAM72D",728833
"374986","FAM73A",374986
"84895","FAM73B",84895
"401507","FAM74A1",401507
"728495","FAM74A3",728495
"401508","FAM74A4",401508
"642265","FAM75A2",642265
"727830","FAM75A3",727830
"727905","FAM75A5",727905
"389730","FAM75A6",389730
"441452","FAM75C1",441452
"199870","FAM76A",199870
"143684","FAM76B",143684
"286336","FAM78A",286336
"149297","FAM78B",149297
"100288380","FAM7A2",100288380
"89837","FAM7A3",89837
"145773","FAM81A",145773
"153643","FAM81B",153643
"151393","FAM82A1",151393
"55177","FAM82A2",55177
"51115","FAM82B",51115
"84985","FAM83A",84985
"222584","FAM83B",222584
"128876","FAM83C",128876
"81610","FAM83D",81610
"54854","FAM83E",54854
"113828","FAM83F",113828
"644815","FAM83G",644815
"286077","FAM83H",286077
"151354","FAM84A",151354
"157638","FAM84B",157638
"196483","FAM86A",196483
"85002","FAM86B1",85002
"653333","FAM86B2",653333
"55199","FAM86C",55199
"692099","FAM86D",692099
"375061","FAM89A",375061
"23625","FAM89B",23625
"51439","FAM8A1",51439
"55138","FAM90A1",55138
"441317","FAM90A7",441317
"157769","FAM91A1",157769
"137392","FAM92A1",137392
"403315","FAM92A3",403315
"339145","FAM92B",339145
"100133036","FAM95B1",100133036
"84191","FAM96A",84191
"51647","FAM96B",51647
"25940","FAM98A",25940
"283742","FAM98B",283742
"147965","FAM98C",147965
"387742","FAM99A",387742
"100132464","FAM99B",100132464
"171482","FAM9A",171482
"171483","FAM9B",171483
"171484","FAM9C",171484
"2175","FANCA",2175
"2187","FANCB",2187
"2176","FANCC",2176
"2177","FANCD2",2177
"2178","FANCE",2178
"2188","FANCF",2188
"2189","FANCG",2189
"55215","FANCI",55215
"55120","FANCL",55120
"57697","FANCM",57697
"92565","FANK1",92565
"2191","FAP",2191
"84188","FAR1",84188
"55711","FAR2",55711
"10160","FARP1",10160
"9855","FARP2",9855
"10667","FARS2",10667
"2193","FARSA",2193
"10056","FARSB",10056
"356","FASLG",356
"2194","FASN",2194
"79675","FASTKD1",79675
"22868","FASTKD2",22868
"79072","FASTKD3",79072
"60493","FASTKD5",60493
"10922","FASTK",10922
"355","FAS",355
"2195","FAT1",2195
"2196","FAT2",2196
"120114","FAT3",120114
"79633","FAT4",79633
"89885","FATE1",89885
"2197","FAU",2197
"85302","FBF1",85302
"54751","FBLIM1",54751
"345630","FBLL1",345630
"2192","FBLN1",2192
"2199","FBLN2",2199
"10516","FBLN5",10516
"129804","FBLN7",129804
"2091","FBL",2091
"2200","FBN1",2200
"2201","FBN2",2201
"84467","FBN3",84467
"2203","FBP1",2203
"8789","FBP2",8789
"57666","FBRSL1",57666
"64319","FBRS",64319
"54850","FBXL12",54850
"222235","FBXL13",222235
"144699","FBXL14",144699
"79176","FBXL15",79176
"146330","FBXL16",146330
"64839","FBXL17",64839
"80028","FBXL18",80028
"54620","FBXL19",54620
"84961","FBXL20",84961
"26223","FBXL21",26223
"283807","FBXL22",283807
"25827","FBXL2",25827
"26224","FBXL3",26224
"26235","FBXL4",26235
"26234","FBXL5",26234
"26233","FBXL6",26233
"23194","FBXL7",23194
"55336","FBXL8",55336
"26267","FBXO10",26267
"80204","FBXO11",80204
"201456","FBXO15",201456
"157574","FBXO16",157574
"115290","FBXO17",115290
"84893","FBXO18",84893
"23014","FBXO21",23014
"692224","FBXO22OS",692224
"26263","FBXO22",26263
"26261","FBXO24",26261
"26260","FBXO25",26260
"126433","FBXO27",126433
"23219","FBXO28",23219
"26232","FBXO2",26232
"84085","FBXO30",84085
"79791","FBXO31",79791
"114907","FBXO32",114907
"254170","FBXO33",254170
"55030","FBXO34",55030
"130888","FBXO36",130888
"81545","FBXO38",81545
"162517","FBXO39",162517
"26273","FBXO3",26273
"51725","FBXO40",51725
"150726","FBXO41",150726
"54455","FBXO42",54455
"286151","FBXO43",286151
"93611","FBXO44",93611
"200933","FBXO45",200933
"23403","FBXO46",23403
"494188","FBXO47",494188
"554251","FBXO48",554251
"26272","FBXO4",26272
"26271","FBXO5",26271
"26270","FBXO6",26270
"25793","FBXO7",25793
"26269","FBXO8",26269
"26268","FBXO9",26268
"10517","FBXW10",10517
"23291","FBXW11",23291
"285231","FBXW12",285231
"26190","FBXW2",26190
"6468","FBXW4",6468
"54461","FBXW5",54461
"55294","FBXW7",55294
"26259","FBXW8",26259
"84261","FBXW9",84261
"83953","FCAMR",83953
"2204","FCAR",2204
"2205","FCER1A",2205
"2207","FCER1G",2207
"2208","FCER2",2208
"51077","FCF1",51077
"8857","FCGBP",8857
"2209","FCGR1A",2209
"2210","FCGR1B",2210
"100132417","FCGR1C",100132417
"2212","FCGR2A",2212
"2213","FCGR2B",2213
"9103","FCGR2C",9103
"2214","FCGR3A",2214
"2215","FCGR3B",2215
"2217","FCGRT",2217
"23149","FCHO1",23149
"115548","FCHO2",115548
"89848","FCHSD1",89848
"9873","FCHSD2",9873
"2219","FCN1",2219
"2220","FCN2",2220
"8547","FCN3",8547
"115350","FCRL1",115350
"79368","FCRL2",79368
"115352","FCRL3",115352
"83417","FCRL4",83417
"83416","FCRL5",83416
"343413","FCRL6",343413
"84824","FCRLA",84824
"127943","FCRLB",127943
"2222","FDFT1",2222
"619190","FDPSL2A",619190
"2224","FDPS",2224
"112812","FDX1L",112812
"2230","FDX1",2230
"91893","FDXACB1",91893
"2232","FDXR",2232
"2235","FECH",2235
"55527","FEM1A",55527
"10116","FEM1B",10116
"56929","FEM1C",56929
"2237","FEN1",2237
"80307","FER1L4",80307
"90342","FER1L5",90342
"654463","FER1L6",654463
"222894","FERD3L",222894
"55612","FERMT1",55612
"10979","FERMT2",10979
"83706","FERMT3",83706
"2241","FER",2241
"2242","FES",2242
"26998","FETUB",26998
"54738","FEV",54738
"9638","FEZ1",9638
"9637","FEZ2",9637
"389549","FEZF1",389549
"55079","FEZF2",55079
"2864","FFAR1",2864
"2867","FFAR2",2867
"2865","FFAR3",2865
"2243","FGA",2243
"2244","FGB",2244
"2245","FGD1",2245
"221472","FGD2",221472
"89846","FGD3",89846
"121512","FGD4",121512
"152273","FGD5",152273
"55785","FGD6",55785
"2255","FGF10",2255
"2256","FGF11",2256
"2257","FGF12",2257
"2258","FGF13",2258
"2259","FGF14",2259
"8823","FGF16",8823
"8822","FGF17",8822
"8817","FGF18",8817
"9965","FGF19",9965
"2246","FGF1",2246
"26281","FGF20",26281
"26291","FGF21",26291
"27006","FGF22",27006
"8074","FGF23",8074
"2247","FGF2",2247
"2248","FGF3",2248
"2249","FGF4",2249
"2250","FGF5",2250
"2251","FGF6",2251
"2252","FGF7",2252
"2253","FGF8",2253
"2254","FGF9",2254
"9982","FGFBP1",9982
"83888","FGFBP2",83888
"143282","FGFBP3",143282
"26127","FGFR1OP2",26127
"11116","FGFR1OP",11116
"2260","FGFR1",2260
"2263","FGFR2",2263
"2261","FGFR3",2261
"2264","FGFR4",2264
"53834","FGFRL1",53834
"55277","FGGY",55277
"2266","FGG",2266
"2267","FGL1",2267
"10875","FGL2",10875
"2268","FGR",2268
"114827","FHAD1",114827
"85462","FHDC1",85462
"2272","FHIT",2272
"2273","FHL1",2273
"2274","FHL2",2274
"2275","FHL3",2275
"9457","FHL5",9457
"29109","FHOD1",29109
"80206","FHOD3",80206
"2271","FH",2271
"84929","FIBCD1",84929
"387758","FIBIN",387758
"9158","FIBP",9158
"11153","FICD",11153
"9896","FIG4",9896
"2277","FIGF",2277
"344018","FIGLA",344018
"63979","FIGNL1",63979
"401720","FIGNL2",401720
"55137","FIGN",55137
"11259","FILIP1L",11259
"27145","FILIP1",27145
"81608","FIP1L1",81608
"51024","FIS1",51024
"161247","FITM1",161247
"128486","FITM2",128486
"84922","FIZ1",84922
"24147","FJX1",24147
"60681","FKBP10",60681
"51303","FKBP11",51303
"55033","FKBP14",55033
"23307","FKBP15",23307
"2282","FKBP1AP1",2282
"2280","FKBP1A",2280
"2281","FKBP1B",2281
"2286","FKBP2",2286
"2287","FKBP3",2287
"2288","FKBP4",2288
"2289","FKBP5",2289
"8468","FKBP6",8468
"51661","FKBP7",51661
"23770","FKBP8",23770
"360132","FKBP9L",360132
"11328","FKBP9",11328
"63943","FKBPL",63943
"79147","FKRP",79147
"100131561","FKSG29",100131561
"440888","FKSG73",440888
"83954","FKSG83",83954
"2218","FKTN",2218
"80308","FLAD1",80308
"201163","FLCN",201163
"388698","FLG2",388698
"2312","FLG",2312
"2313","FLI1",2313
"2314","FLII",2314
"55056","FLJ10038",55056
"55096","FLJ10213",55096
"55701","FLJ10357",55701
"286042","FLJ10661",286042
"54508","FLJ11235",54508
"440101","FLJ12825",440101
"79667","FLJ13197",79667
"79857","FLJ13224",79857
"80094","FLJ14107",80094
"100192386","FLJ16779",100192386
"401237","FLJ22536",401237
"200058","FLJ23867",200058
"148231","FLJ25328",148231
"401082","FLJ25363",401082
"497049","FLJ25758",497049
"400710","FLJ26850",400710
"146512","FLJ30679",146512
"150538","FLJ32063",150538
"401172","FLJ33360",401172
"644873","FLJ33630",644873
"285759","FLJ34503",285759
"401491","FLJ35024",401491
"284131","FLJ35220",284131
"255031","FLJ35390",255031
"649446","FLJ35776",649446
"284124","FLJ36000",284124
"168455","FLJ36031",168455
"730971","FLJ36777",730971
"283011","FLJ37201",283011
"283521","FLJ37307",283521
"729614","FLJ37453",729614
"285668","FLJ37543",285668
"439931","FLJ39582",439931
"100130417","FLJ39609",100130417
"202020","FLJ39653",202020
"388685","FLJ39739",388685
"643210","FLJ40292",643210
"645784","FLJ40330",645784
"163742","FLJ40434",163742
"284085","FLJ40504",284085
"285962","FLJ40852",285962
"100192420","FLJ41941",100192420
"388182","FLJ42289",388182
"401105","FLJ42393",401105
"645644","FLJ42627",645644
"441094","FLJ42709",441094
"440556","FLJ42875",440556
"646113","FLJ43390",646113
"378805","FLJ43663",378805
"389761","FLJ43859",389761
"389690","FLJ43860",389690
"347127","FLJ43950",347127
"643365","FLJ44054",643365
"389762","FLJ44082",389762
"401207","FLJ44606",401207
"392490","FLJ44635",392490
"400624","FLJ45079",400624
"400242","FLJ45244",400242
"402483","FLJ45340",402483
"399844","FLJ45445",399844
"399717","FLJ45983",399717
"283102","FLJ46111",283102
"389763","FLJ46321",389763
"375940","FLJ46361",375940
"440465","FLJ90757",440465
"2316","FLNA",2316
"2317","FLNB",2317
"2318","FLNC",2318
"10211","FLOT1",10211
"2319","FLOT2",2319
"23769","FLRT1",23769
"23768","FLRT2",23768
"23767","FLRT3",23767
"2321","FLT1",2321
"2323","FLT3LG",2323
"2322","FLT3",2322
"2324","FLT4",2324
"28982","FLVCR1",28982
"55640","FLVCR2",55640
"84256","FLYWCH1",84256
"114984","FLYWCH2",114984
"342184","FMN1",342184
"56776","FMN2",56776
"752","FMNL1",752
"114793","FMNL2",114793
"91010","FMNL3",91010
"2326","FMO1",2326
"2327","FMO2",2327
"2328","FMO3",2328
"2329","FMO4",2329
"2330","FMO5",2330
"388714","FMO6P",388714
"116123","FMO9P",116123
"2331","FMOD",2331
"158521","FMR1NB",158521
"2332","FMR1",2332
"2335","FN1",2335
"79672","FN3KRP",79672
"64122","FN3K",64122
"54874","FNBP1L",54874
"23048","FNBP1",23048
"23360","FNBP4",23360
"84624","FNDC1",84624
"22862","FNDC3A",22862
"64778","FNDC3B",64778
"64838","FNDC4",64838
"252995","FNDC5",252995
"163479","FNDC7",163479
"54752","FNDC8",54752
"96459","FNIP1",96459
"57600","FNIP2",57600
"2339","FNTA",2339
"2342","FNTB",2342
"219595","FOLH1B",219595
"2346","FOLH1",2346
"2348","FOLR1",2348
"2350","FOLR2",2350
"2352","FOLR3",2352
"390243","FOLR4",390243
"2354","FOSB",2354
"8061","FOSL1",8061
"2355","FOSL2",2355
"2353","FOS",2353
"3169","FOXA1",3169
"3170","FOXA2",3170
"3171","FOXA3",3171
"27023","FOXB1",27023
"442425","FOXB2",442425
"2296","FOXC1",2296
"2303","FOXC2",2303
"2297","FOXD1",2297
"2306","FOXD2",2306
"27022","FOXD3",27022
"200350","FOXD4L1",200350
"100036519","FOXD4L2",100036519
"286380","FOXD4L3",286380
"653427","FOXD4L5",653427
"653404","FOXD4L6",653404
"2298","FOXD4",2298
"2304","FOXE1",2304
"2301","FOXE3",2301
"2294","FOXF1",2294
"2295","FOXF2",2295
"2290","FOXG1",2290
"8928","FOXH1",8928
"2299","FOXI1",2299
"399823","FOXI2",399823
"344167","FOXI3",344167
"2302","FOXJ1",2302
"55810","FOXJ2",55810
"22887","FOXJ3",22887
"221937","FOXK1",221937
"3607","FOXK2",3607
"2300","FOXL1",2300
"668","FOXL2",668
"2305","FOXM1",2305
"8456","FOXN1",8456
"3344","FOXN2",3344
"1112","FOXN3",1112
"121643","FOXN4",121643
"2308","FOXO1",2308
"2310","FOXO3B",2310
"2309","FOXO3",2309
"4303","FOXO4",4303
"27086","FOXP1",27086
"93986","FOXP2",93986
"50943","FOXP3",50943
"116113","FOXP4",116113
"94234","FOXQ1",94234
"283150","FOXR1",283150
"139628","FOXR2",139628
"55572","FOXRED1",55572
"80020","FOXRED2",80020
"2307","FOXS1",2307
"2356","FPGS",2356
"8790","FPGT",8790
"2357","FPR1",2357
"2358","FPR2",2358
"2359","FPR3",2359
"80144","FRAS1",80144
"10023","FRAT1",10023
"23401","FRAT2",23401
"158326","FREM1",158326
"341640","FREM2",341640
"284802","FRG1B",284802
"2483","FRG1",2483
"441581","FRG2B",441581
"100288801","FRG2C",100288801
"448831","FRG2",448831
"2444","FRK",2444
"79981","FRMD1",79981
"257019","FRMD3",257019
"55691","FRMD4A",55691
"23150","FRMD4B",23150
"84978","FRMD5",84978
"122786","FRMD6",122786
"90167","FRMD7",90167
"83786","FRMD8",83786
"22844","FRMPD1",22844
"728798","FRMPD2L1",728798
"143162","FRMPD2",143162
"9758","FRMPD4",9758
"391059","FRRS1",391059
"10818","FRS2",10818
"10817","FRS3",10817
"285527","FRYL",285527
"10129","FRY",10129
"2487","FRZB",2487
"84075","FSCB",84075
"6624","FSCN1",6624
"25794","FSCN2",25794
"29999","FSCN3",29999
"83856","FSD1L",83856
"79187","FSD1",79187
"123722","FSD2",123722
"2488","FSHB",2488
"2492","FSHR",2492
"161835","FSIP1",161835
"11167","FSTL1",11167
"10272","FSTL3",10272
"23105","FSTL4",23105
"56884","FSTL5",56884
"10468","FST",10468
"10841","FTCD",10841
"2495","FTH1",2495
"53940","FTHL17",53940
"2498","FTHL3",2498
"100130017","FTLP10",100130017
"2512","FTL",2512
"94033","FTMT",94033
"79068","FTO",79068
"24140","FTSJ1",24140
"29960","FTSJ2",29960
"117246","FTSJ3",117246
"55783","FTSJD1",55783
"23070","FTSJD2",23070
"8880","FUBP1",8880
"8939","FUBP3",8939
"2517","FUCA1",2517
"2519","FUCA2",2519
"197258","FUK",197258
"139341","FUNDC1",139341
"388965","FUNDC2P2",388965
"65991","FUNDC2",65991
"5045","FURIN",5045
"2521","FUS",2521
"84750","FUT10",84750
"170384","FUT11",170384
"2523","FUT1",2523
"2524","FUT2",2524
"2525","FUT3",2525
"2526","FUT4",2526
"2527","FUT5",2527
"2528","FUT6",2528
"2529","FUT7",2529
"2530","FUT8",2530
"10690","FUT9",10690
"80199","FUZ",80199
"26515","FXC1",26515
"2395","FXN",2395
"8087","FXR1",8087
"9513","FXR2",9513
"5348","FXYD1",5348
"486","FXYD2",486
"5349","FXYD3",5349
"53828","FXYD4",53828
"53827","FXYD5",53827
"53826","FXYD6",53826
"53822","FXYD7",53822
"2533","FYB",2533
"79443","FYCO1",79443
"2534","FYN",2534
"84248","FYTTD1",84248
"11211","FZD10",11211
"8321","FZD1",8321
"2535","FZD2",2535
"7976","FZD3",7976
"8322","FZD4",8322
"7855","FZD5",7855
"8323","FZD6",8323
"8324","FZD7",8324
"8325","FZD8",8325
"8326","FZD9",8326
"51343","FZR1",51343
"50486","G0S2",50486
"55632","G2E3",55632
"10146","G3BP1",10146
"9908","G3BP2",9908
"57818","G6PC2",57818
"92579","G6PC3",92579
"2538","G6PC",2538
"2539","G6PD",2539
"2548","GAA",2548
"2549","GAB1",2549
"9846","GAB2",9846
"139716","GAB3",139716
"128954","GAB4",128954
"23710","GABARAPL1",23710
"11345","GABARAPL2",11345
"23766","GABARAPL3",23766
"11337","GABARAP",11337
"2550","GABBR1",2550
"9568","GABBR2",9568
"2551","GABPA",2551
"2553","GABPB1",2553
"126626","GABPB2",126626
"2554","GABRA1",2554
"2555","GABRA2",2555
"2556","GABRA3",2556
"2557","GABRA4",2557
"2558","GABRA5",2558
"2559","GABRA6",2559
"2560","GABRB1",2560
"2561","GABRB2",2561
"2562","GABRB3",2562
"2563","GABRD",2563
"2564","GABRE",2564
"2565","GABRG1",2565
"2566","GABRG2",2566
"2567","GABRG3",2567
"2568","GABRP",2568
"55879","GABRQ",55879
"2569","GABRR1",2569
"2570","GABRR2",2570
"200959","GABRR3",200959
"2571","GAD1",2571
"2572","GAD2",2572
"1647","GADD45A",1647
"4616","GADD45B",4616
"90480","GADD45GIP1",90480
"10912","GADD45G",10912
"339896","GADL1",339896
"643832","GAGE10",643832
"100132399","GAGE12D",100132399
"100008586","GAGE12F",100008586
"729396","GAGE12J",729396
"645051","GAGE13",645051
"2543","GAGE1",2543
"729447","GAGE2A",729447
"645037","GAGE2B",645037
"2574","GAGE2C",2574
"729408","GAGE2D",729408
"26749","GAGE2E",26749
"2576","GAGE4",2576
"100101629","GAGE8",100101629
"2580","GAK",2580
"9514","GAL3ST1",9514
"64090","GAL3ST2",64090
"89792","GAL3ST3",89792
"79690","GAL3ST4",79690
"2581","GALC",2581
"2582","GALE",2582
"2584","GALK1",2584
"2585","GALK2",2585
"130589","GALM",130589
"2588","GALNS",2588
"55568","GALNT10",55568
"63917","GALNT11",63917
"79695","GALNT12",79695
"114805","GALNT13",114805
"79623","GALNT14",79623
"2589","GALNT1",2589
"2590","GALNT2",2590
"2591","GALNT3",2591
"8693","GALNT4",8693
"11227","GALNT5",11227
"11226","GALNT6",11226
"51809","GALNT7",51809
"26290","GALNT8",26290
"50614","GALNT9",50614
"57452","GALNTL1",57452
"117248","GALNTL2",117248
"374378","GALNTL4",374378
"168391","GALNTL5",168391
"442117","GALNTL6",442117
"85569","GALP",85569
"2587","GALR1",2587
"8811","GALR2",8811
"8484","GALR3",8484
"2592","GALT",2592
"51083","GAL",51083
"2593","GAMT",2593
"23193","GANAB",23193
"2595","GANC",2595
"8139","GAN",8139
"2596","GAP43",2596
"26330","GAPDHS",26330
"2597","GAPDH",2597
"202309","GAPT",202309
"26130","GAPVD1",26130
"54433","GAR1",54433
"84253","GARNL3",84253
"2617","GARS",2617
"2618","GART",2618
"2619","GAS1",2619
"10634","GAS2L1",10634
"246176","GAS2L2",246176
"283431","GAS2L3",283431
"2620","GAS2",2620
"60674","GAS5",60674
"2621","GAS6",2621
"8522","GAS7",8522
"2622","GAS8",2622
"2520","GAST",2520
"2623","GATA1",2623
"2624","GATA2",2624
"2625","GATA3",2625
"2626","GATA4",2626
"140628","GATA5",140628
"2627","GATA6",2627
"57798","GATAD1",57798
"54815","GATAD2A",54815
"57459","GATAD2B",57459
"283459","GATC",283459
"2628","GATM",2628
"389523","GATSL1",389523
"729438","GATSL2",729438
"652968","GATSL3",652968
"352954","GATS",352954
"57704","GBA2",57704
"57733","GBA3",57733
"2630","GBAP1",2630
"2631","GBAS",2631
"2629","GBA",2629
"2632","GBE1",2632
"8729","GBF1",8729
"26301","GBGT1",26301
"2633","GBP1",2633
"2634","GBP2",2634
"2635","GBP3",2635
"115361","GBP4",115361
"115362","GBP5",115362
"163351","GBP6",163351
"388646","GBP7",388646
"2636","GBX1",2636
"2637","GBX2",2637
"23464","GCAT",23464
"25801","GCA",25801
"79571","GCC1",79571
"9648","GCC2",9648
"2639","GCDH",2639
"257144","GCET2",257144
"94104","GCFC1",94104
"2642","GCGR",2642
"2641","GCG",2641
"2643","GCH1",2643
"2644","GCHFR",2644
"2646","GCKR",2646
"2645","GCK",2645
"2729","GCLC",2729
"2730","GCLM",2730
"8521","GCM1",8521
"9247","GCM2",9247
"10985","GCN1L1",10985
"2650","GCNT1",2650
"2651","GCNT2",2651
"9245","GCNT3",9245
"51301","GCNT4",51301
"140687","GCNT7",140687
"145781","GCOM1",145781
"2653","GCSH",2653
"2638","GC",2638
"78997","GDAP1L1",78997
"54332","GDAP1",54332
"54834","GDAP2",54834
"9615","GDA",9615
"51573","GDE1",51573
"118425","GDEP",118425
"2662","GDF10",2662
"10220","GDF11",10220
"9518","GDF15",9518
"2657","GDF1",2657
"2658","GDF2",2658
"9573","GDF3",9573
"8200","GDF5",8200
"392255","GDF6",392255
"151449","GDF7",151449
"2661","GDF9",2661
"2664","GDI1",2664
"2665","GDI2",2665
"2668","GDNF",2668
"284161","GDPD1",284161
"54857","GDPD2",54857
"79153","GDPD3",79153
"220032","GDPD4",220032
"81544","GDPD5",81544
"115557","GEFT",115557
"50628","GEMIN4",50628
"25929","GEMIN5",25929
"79833","GEMIN6",79833
"79760","GEMIN7",79760
"492303","GEMIN8P4",492303
"54960","GEMIN8",54960
"2669","GEM",2669
"348654","GEN1",348654
"51608","GET4",51608
"2670","GFAP",2670
"2671","GFER",2671
"8328","GFI1B",8328
"2672","GFI1",2672
"85476","GFM1",85476
"84340","GFM2",84340
"54438","GFOD1",54438
"81577","GFOD2",81577
"2673","GFPT1",2673
"9945","GFPT2",9945
"2674","GFRA1",2674
"2675","GFRA2",2675
"2676","GFRA3",2676
"64096","GFRA4",64096
"389400","GFRAL",389400
"26088","GGA1",26088
"23062","GGA2",23062
"23163","GGA3",23163
"79017","GGCT",79017
"2677","GGCX",2677
"8836","GGH",8836
"449520","GGNBP1",449520
"79893","GGNBP2",79893
"199720","GGN",199720
"9453","GGPS1",9453
"2678","GGT1",2678
"2679","GGT3P",2679
"2687","GGT5",2687
"124975","GGT6",124975
"2686","GGT7",2686
"645367","GGT8P",645367
"2681","GGTA1",2681
"92086","GGTLC1",92086
"91227","GGTLC2",91227
"2688","GH1",2688
"2689","GH2",2689
"84514","GHDC",84514
"27069","GHITM",27069
"2692","GHRHR",2692
"2691","GHRH",2691
"100126793","GHRLOS",100126793
"51738","GHRL",51738
"2690","GHR",2690
"2693","GHSR",2693
"2694","GIF",2694
"64599","GIGYF1",64599
"26058","GIGYF2",26058
"170575","GIMAP1",170575
"26157","GIMAP2",26157
"55303","GIMAP4",55303
"55340","GIMAP5",55340
"474344","GIMAP6",474344
"168537","GIMAP7",168537
"155038","GIMAP8",155038
"54826","GIN1",54826
"9837","GINS1",9837
"51659","GINS2",51659
"64785","GINS3",64785
"84296","GINS4",84296
"10755","GIPC1",10755
"54810","GIPC2",54810
"126326","GIPC3",126326
"2696","GIPR",2696
"2695","GIP",2695
"28964","GIT1",28964
"9815","GIT2",9815
"79008","GIYD2",79008
"84694","GJA10",84694
"2697","GJA1",2697
"2700","GJA3",2700
"2701","GJA4",2701
"2702","GJA5",2702
"2703","GJA8",2703
"81025","GJA9",81025
"2705","GJB1",2705
"2706","GJB2",2706
"2707","GJB3",2707
"127534","GJB4",127534
"2709","GJB5",2709
"10804","GJB6",10804
"375519","GJB7",375519
"10052","GJC1",10052
"57165","GJC2",57165
"349149","GJC3",349149
"57369","GJD2",57369
"125111","GJD3",125111
"219770","GJD4",219770
"2712","GK2",2712
"2713","GK3P",2713
"256356","GK5",256356
"80318","GKAP1",80318
"56287","GKN1",56287
"200504","GKN2",200504
"2710","GK",2710
"2717","GLA",2717
"89944","GLB1L2",89944
"112937","GLB1L3",112937
"79411","GLB1L",79411
"2720","GLB1",2720
"113263","GLCCI1",113263
"26035","GLCE",26035
"2731","GLDC",2731
"342035","GLDN",342035
"2733","GLE1",2733
"2734","GLG1",2734
"2735","GLI1",2735
"2736","GLI2",2736
"2737","GLI3",2737
"2738","GLI4",2738
"256710","GLIPR1L1",256710
"144321","GLIPR1L2",144321
"11010","GLIPR1",11010
"152007","GLIPR2",152007
"148979","GLIS1",148979
"84662","GLIS2",84662
"169792","GLIS3",169792
"11146","GLMN",11146
"2739","GLO1",2739
"51031","GLOD4",51031
"392465","GLOD5",392465
"2740","GLP1R",2740
"9340","GLP2R",9340
"2741","GLRA1",2741
"2742","GLRA2",2742
"8001","GLRA3",8001
"441509","GLRA4",441509
"2743","GLRB",2743
"51022","GLRX2",51022
"10539","GLRX3",10539
"51218","GLRX5",51218
"2745","GLRX",2745
"27165","GLS2",27165
"2744","GLS",2744
"144423","GLT1D1",144423
"79709","GLT25D1",79709
"23127","GLT25D2",23127
"360203","GLT6D1",360203
"55830","GLT8D1",55830
"83468","GLT8D2",83468
"80772","GLTPD1",80772
"388323","GLTPD2",388323
"51228","GLTP",51228
"29998","GLTSCR1",29998
"29997","GLTSCR2",29997
"2746","GLUD1",2746
"2747","GLUD2",2747
"2752","GLUL",2752
"92292","GLYATL1",92292
"219970","GLYATL2",219970
"389396","GLYATL3",389396
"10249","GLYAT",10249
"644076","GLYCAM1",644076
"132158","GLYCTK",132158
"84656","GLYR1",84656
"2760","GM2A",2760
"64396","GMCL1L",64396
"64395","GMCL1",64395
"2762","GMDS",2762
"10691","GMEB1",10691
"26205","GMEB2",26205
"2764","GMFB",2764
"9535","GMFG",9535
"51291","GMIP",51291
"2765","GML",2765
"51053","GMNN",51053
"29926","GMPPA",29926
"29925","GMPPB",29925
"51292","GMPR2",51292
"2766","GMPR",2766
"8833","GMPS",8833
"2767","GNA11",2767
"2768","GNA12",2768
"10672","GNA13",10672
"9630","GNA14",9630
"2769","GNA15",2769
"2770","GNAI1",2770
"2771","GNAI2",2771
"2773","GNAI3",2773
"2774","GNAL",2774
"2775","GNAO1",2775
"2776","GNAQ",2776
"149775","GNASAS",149775
"2778","GNAS",2778
"2779","GNAT1",2779
"2780","GNAT2",2780
"346562","GNAT3",346562
"2781","GNAZ",2781
"54584","GNB1L",54584
"2782","GNB1",2782
"10399","GNB2L1",10399
"2783","GNB2",2783
"2784","GNB3",2784
"59345","GNB4",59345
"10681","GNB5",10681
"10020","GNE",10020
"2790","GNG10",2790
"2791","GNG11",2791
"55970","GNG12",55970
"51764","GNG13",51764
"54331","GNG2",54331
"2785","GNG3",2785
"2786","GNG4",2786
"2787","GNG5",2787
"2788","GNG7",2788
"94235","GNG8",94235
"2792","GNGT1",2792
"2793","GNGT2",2793
"2794","GNL1",2794
"29889","GNL2",29889
"54552","GNL3L",54552
"26354","GNL3",26354
